Category,Title,Author,Price,cover_img
Administração,TREINAMENTO E DESENVOLVIMENTO DE RECURSOS HUMANOS - COMO INCREMENTAR TALENTOS NA EMPRESA,"Autor:CHIAVENATO, IDALBERTO","R$ 76,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148204417-300-300/2112307713.jpg?v=638144341652470000
Administração,"REMUNERAÇÃO, BENEFÍCIOS E RELAÇÕES DE TRABALHO - COMO RETER TALENTOS NA ORGANIZAÇÃO","Autor:CHIAVENATO, IDALBERTO","R$ 76,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148204111-300-300/2112307712.jpg?v=638144341168570000
HQs,CAVALEIROS DO ZODÍACO - SAINT SEIYA KANZENBAN - VOL. 14,"Autor:KURUMADA, MASAMI","R$ 64,90",https://livrariacultura.vteximg.com.br/arquivos/ids/149477339-300-300/2112061106.jpg?v=638156065049700000
HQs,"NOVOS DEUSES, V.3","Autor:KIRBY, JACK","R$ 29,90",https://livrariacultura.vteximg.com.br/arquivos/ids/75110476-300-300/2000269975.jpg?v=637776258348400000
HQs,JUBIABÁ,"Autor:AMADO, JORGE|Adaptador:SPACCA","R$ 62,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148160692-300-300/2774769.jpg?v=638144278023300000
HQs,BOX DEMON SLAYER VOLS. 1 AO 23,"Autor:GOTOUGE, KOYOHARU","R$ 779,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152565779-300-300/2112336700.jpg?v=638188824187870000
HQs,NEON GENESIS EVANGELION COLLECTOR'S EDITION VOL. 02,Autor:YOSHIYUKI SADAMOTO,"R$ 74,90",https://livrariacultura.vteximg.com.br/arquivos/ids/153933999-300-300/2112336287.jpg?v=638197399631900000
HQs,TOKYO REVENGERS - VOL. 08,Autor:KEN WAKUI,"R$ 33,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152588848-300-300/2112334284.jpg?v=638188927358500000
HQs,CAVALEIROS DO ZODÍACO – SAINT SEIYA KANZENBAN VOL. 22,"Autor:KURUMADA, MASAMI","R$ 72,90",https://livrariacultura.vteximg.com.br/arquivos/ids/149477580-300-300/2112320496.jpg?v=638156065695500000
HQs,CAVALEIROS DO ZODÍACO – SAINT SEIYA KANZENBAN VOL. 19,"Autor:KURUMADA, MASAMI","R$ 72,90",https://livrariacultura.vteximg.com.br/arquivos/ids/149477521-300-300/2112307516.jpg?v=638156065553500000
HQs,CAVALEIROS DO ZODÍACO - SAINT SEIYA KANZENBAN - VOL. 15,"Autor:KURUMADA, MASAMI","R$ 64,90",https://livrariacultura.vteximg.com.br/arquivos/ids/149477398-300-300/2112245809.jpg?v=638156065214030000
HQs,A ROSA MAIS VERMELHA DESABROCHA,"Autor:STROMQUIST, LIV","R$ 77,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148200102-300-300/2112285235.jpg?v=638144334390230000
HQs,CARDCAPTOR SAKURA - CLEAR CARD ARC - VOL. 3,Autor:CLAMP,"R$ 26,90",https://livrariacultura.vteximg.com.br/arquivos/ids/149477368-300-300/2112254682.jpg?v=638156065129530000
HQs,O HOMEM DA MÁSCARA DE FERRO,"Autor:DUMAS, ALEXANDRE|Adaptador:PIPE, JIM","R$ 38,00",https://livrariacultura.vteximg.com.br/arquivos/ids/126253262-300-300/5092400.jpg?v=637993951731800000
HQs,AÂMA - VOLUME 2,"Autor:PEETERS, FREDERIK|Tradutor:SCHEIBE, FERNANDO","R$ 54,90",https://livrariacultura.vteximg.com.br/arquivos/ids/155134895-300-300/42275568.jpg?v=638206118567830000
